word,cefr_level,source,pos,meaning_ko,meaning_en,forms,category,word_code,sense_code,synonyms
pocket,A2,LCMS_0729_0727_wordmeta,Verb,주머니에 넣다,to put something into a pocket,pockets,Actions & Verbs,W000002784,S000000002,
injustice,C1,LCMS_0729_0727_wordmeta,Noun,"불공평, 부당함",when something is not fair or right,injustices,Abstract Concepts,W000002786,S000000001,"unfairness,wrong,discrimination"
channel,A2,LCMS_0729_0727_wordmeta,Noun,물이나 배가 다니는 길,a path for water or ships to move through,"channeled,channels,channeling",Places & Transport,W000002790,S000000001,"direct,guide,focus"
channel,A2,LCMS_0729_0727_wordmeta,Noun,텔레비전이나 라디오 방송 번호,a number for a TV or radio station,"channeled,channels,channeling",Technology & Media,W000002790,S000000002,"direct,guide,focus"
channel,A2,LCMS_0729_0727_wordmeta,Verb,어떤 방향으로 보내다,to send something in a certain direction,"channeled,channels,channeling",Actions & Verbs,W000002790,S000000003,"direct,guide,focus"
channel,A2,LCMS_0729_0727_wordmeta,Verb,한곳에 모으다,to make something go to one place or idea,"channeled,channels,channeling",Actions & Verbs,W000002790,S000000004,"direct,guide,focus"
focus,A2,LCMS_0729_0727_wordmeta,Noun,중심,the main thing you think about,focuses,Abstract Concepts,W000002792,S000000001,"center,core,hub,attention"
focus,A2,LCMS_0729_0727_wordmeta,Noun,초점,the clear part of a picture,focuses,Abstract Concepts,W000002792,S000000002,"center,core,hub,attention"
focus,A2,LCMS_0729_0727_wordmeta,Verb,집중하다,to give all your attention to one thing,focuses,Abstract Concepts,W000002792,S000000003,"center,core,hub,attention"
focus,A2,LCMS_0729_0727_wordmeta,Verb,초점을 맞추다,to make a picture clear,focuses,Abstract Concepts,W000002792,S000000004,"center,core,hub,attention"
entire,B2,LCMS_0729_0727_wordmeta,Adjective,"모든, 전체의","all of something, not just a part",,Abstract Concepts,W000002795,S000000001,"whole,complete,total,full"
approach,B1,LCMS_0729_0727_wordmeta,Noun,어떤 일을 하는 방법,a way to do something,"approached,approaches,approaching",Abstract Concepts,W000002796,S000000001,"come near,draw close"
approach,B1,LCMS_0729_0727_wordmeta,Verb,가까이 가다,to come near to someone or something,"approached,approaches,approaching",Actions & Verbs,W000002796,S000000002,"come near,draw close"
wrist,B2,LCMS_0729_0727_wordmeta,Noun,손목,the part where your hand joins your arm,wrists,Body & Senses,W000002797,S000000001,
decisive,C1,LCMS_0729_0727_wordmeta,Adjective,결정하는,able to make a clear choice,"more decisive,most decisive",Abstract Concepts,W000002800,S000000001,"crucial,firm,conclusive"
decisive,C1,LCMS_0729_0727_wordmeta,Adjective,단호한,showing that you are sure about something,"more decisive,most decisive",Abstract Concepts,W000002800,S000000002,"crucial,firm,conclusive"
camel,A2,LCMS_0729_0727_wordmeta,Noun,낙타,a desert animal with one or two humps,camels,Animals,W000002802,S000000001,
thesis,B2,LCMS_0729_0727_wordmeta,Noun,중요한 생각,a main idea that you believe is true,theses,School & Learning,W000002803,S000000001,"argument,proposition,contention"
write,Pre A1,LCMS_0729_0727_wordmeta,Verb,글을 쓰다,to make words or letters on paper,"wrote,written,writes,writing",School & Learning,W000002807,S000000001,"compose,pen,jot down"
musical,B1,LCMS_0729_0727_wordmeta,Adjective,"음악의, 음악적인",about music or good at playing music,,Abstract Concepts,W000002812,S000000001,"tuneful,melodic,harmonious"
musical,B1,LCMS_0729_0727_wordmeta,Noun,뮤지컬,a play that has many songs and dances,,Abstract Concepts,W000002812,S000000002,"tuneful,melodic,harmonious"
bulb,B1,LCMS_0729_0727_wordmeta,Noun,"전구, 램프",a round glass part that makes light,bulbs,Home & Objects,W000002813,S000000001,"lamp,light"
bulb,B1,LCMS_0729_0727_wordmeta,Noun,알뿌리,a round part of a plant under the ground,bulbs,Nature & Weather,W000002813,S000000002,"lamp,light"
corporation,B2,LCMS_0729_0727_wordmeta,Noun,"기업, 회사",a big company or business,corporations,Work & Jobs,W000002814,S000000001,"company,firm,enterprise,business"
loyalty,C1,LCMS_0729_0727_wordmeta,Noun,"충성심, 의리",a strong feeling of being true to someone,loyalties,Feelings & Emotions,W000002815,S000000001,"faithfulness,devotion,allegiance"
understand,Pre A1,LCMS_0729_0727_wordmeta,Verb,"이해하다, 알다",to know what something means,"understood,understands,understanding",School & Learning,W000002817,S000000001,"comprehend,grasp,realize"
dismiss,B2,LCMS_0729_0727_wordmeta,Verb,가라고 하다,to tell someone they can leave,"dismissed,dismisses,dismissing",Actions & Verbs,W000002818,S000000001,"release,let go,send away,excuse"
dismiss,B2,LCMS_0729_0727_wordmeta,Verb,"무시하다, 중요하게 생각하지 않다",to decide something is not important,"dismissed,dismisses,dismissing",Actions & Verbs,W000002818,S000000002,"release,let go,send away,excuse"
dismiss,B2,LCMS_0729_0727_wordmeta,Verb,수업을 끝내다,to end a class or meeting,"dismissed,dismisses,dismissing",School & Learning,W000002818,S000000003,"release,let go,send away,excuse"
classroom,Pre A1,LCMS_0729_0727_wordmeta,Noun,교실,a room in a school for learning,classrooms,School & Learning,W000002820,S000000001,schoolroom
picnic,A1,LCMS_0729_0727_wordmeta,Noun,소풍,a meal eaten outside for fun,"picnicked,picnics,picnicking",Actions & Verbs,W000002821,S000000001,
picnic,A1,LCMS_0729_0727_wordmeta,Verb,소풍 가다,to eat a meal outside for fun,"picnicked,picnics,picnicking",Actions & Verbs,W000002821,S000000002,
heaven,B2,LCMS_0729_0727_wordmeta,Noun,신이 사는 곳,the place where God lives,heavens,Abstract Concepts,W000002823,S000000001,"paradise,nirvana,bliss"
heaven,B2,LCMS_0729_0727_wordmeta,Noun,하늘,"the sky, high above us",heavens,Nature & Weather,W000002823,S000000002,"paradise,nirvana,bliss"
unhappy,A2,LCMS_0729_0727_wordmeta,Adjective,"불행한, 슬픈",not feeling happy or joyful,"unhappier,unhappiest",Feelings & Emotions,W000002827,S000000001,"sad,miserable,sorrowful"
winner,A2,LCMS_0729_0727_wordmeta,Noun,"이긴 사람, 우승자",a person or thing that wins a game,winners,People & Family,W000002829,S000000001,"victor,champion"
million,A2,LCMS_0729_0727_wordmeta,Numeral,숫자 백만,"the number 1,000,000",millions,Numbers & Time,W000002830,S000000001,
install,B2,LCMS_0729_0727_wordmeta,Verb,기계나 장비를 놓다,to put a machine or equipment in place to use it,"installed,installs,installing",Actions & Verbs,W000002832,S000000001,"set up,put in,place,fit"
bulk,C1,LCMS_0729_0727_wordmeta,Noun,"큰 크기, 많은 양",a very big size or a large amount,,Abstract Concepts,W000002834,S000000001,"mass,size,volume"
bulk,C1,LCMS_0729_0727_wordmeta,Noun,"대부분, 주된 부분",the main or biggest part of something,,Abstract Concepts,W000002834,S000000002,"mass,size,volume"
bull,B1,LCMS_0729_0727_wordmeta,Noun,황소,uncastrated adult male of domestic cattle,"bull,bulls",Animals,W000002835,S000000001,
champion,B1,LCMS_0729_0727_wordmeta,Noun,경기에서 이긴 사람,the person who wins a game or contest,champions,People & Family,W000002837,S000000001,"winner,victor"
champion,B1,LCMS_0729_0727_wordmeta,Verb,누군가를 돕고 응원하다,to help and support someone or something,champions,Actions & Verbs,W000002837,S000000002,"winner,victor"
gum,B1,LCMS_0729_0727_wordmeta,Noun,"접착제, 끈적한 것",a sticky thing used to join things,gums,Home & Objects,W000002838,S000000001,"glue,adhesive"
gum,B1,LCMS_0729_0727_wordmeta,Noun,껌,a sweet thing you chew,gums,Food & Drink,W000002838,S000000002,"glue,adhesive"
gum,B1,LCMS_0729_0727_wordmeta,Noun,잇몸,the soft pink skin in your mouth,gums,Body & Senses,W000002838,S000000003,"glue,adhesive"
gun,B1,LCMS_0729_0727_wordmeta,Noun,총,a weapon that shoots bullets,"gunned,guns,gunning",Home & Objects,W000002839,S000000001,"accelerate,rev"
gun,B1,LCMS_0729_0727_wordmeta,Verb,"속도를 높이다, 빨리 달리다",to make something go very fast,"gunned,guns,gunning",Actions & Verbs,W000002839,S000000002,"accelerate,rev"
hundred,A1,LCMS_0729_0727_wordmeta,Numeral,"백, 100",the number 100,hundreds,Numbers & Time,W000002840,S000000001,
wait,A1,LCMS_0729_0727_wordmeta,Noun,"기다림, 대기",a time when you wait for something,"waited,waits,waiting",Actions & Verbs,W000002841,S000000001,"stay,remain"
wait,A1,LCMS_0729_0727_wordmeta,Verb,기다리다,to stay in a place until something happens,"waited,waits,waiting",Actions & Verbs,W000002841,S000000002,"stay,remain"
circuit,B2,LCMS_0729_0727_wordmeta,Noun,순환 도로,a track or path that goes around,circuits,Places & Transport,W000002842,S000000001,"loop,path,course,network"
circuit,B2,LCMS_0729_0727_wordmeta,Noun,회로,a path for electricity to flow through,circuits,Science & Discovery,W000002842,S000000002,"loop,path,course,network"
queen,A2,LCMS_0729_0727_wordmeta,Noun,여왕,a woman who rules a country,queens,People & Family,W000002843,S000000001,"monarch,empress"
queen,A2,LCMS_0729_0727_wordmeta,Noun,왕비,the wife of a king,queens,People & Family,W000002843,S000000002,"monarch,empress"
queen,A2,LCMS_0729_0727_wordmeta,Adjective,벌,the only fertile female in a colony of social insects such as bees and ants and termites,"queen,queens",Animals,W000002843,S000000003,
gut,C1,LCMS_0729_0727_wordmeta,Noun,몸속의 창자,the long tube inside your body,guts,Body & Senses,W000002844,S000000001,"intestines,bowels"
gut,C1,LCMS_0729_0727_wordmeta,Verb,속을 비우다,to take out the inside parts,guts,Actions & Verbs,W000002844,S000000002,"intestines,bowels"
gut,C1,LCMS_0729_0727_wordmeta,Noun,어려운 일을 할 용기,bravery to do something hard,guts,Abstract Concepts,W000002844,S000000003,"intestines,bowels"
guerrilla,C1,LCMS_0729_0727_wordmeta,Adjective,몰래 싸우는,"about fighting in a secret, surprise way",,Society & Community,W000002845,S000000001,"irregular,unconventional"
guerrilla,C1,LCMS_0729_0727_wordmeta,Noun,몰래 싸우는 사람,a fighter who fights in a secret way,,Society & Community,W000002845,S000000002,"irregular,unconventional"
magnificent,B1,LCMS_0729_0727_wordmeta,Adjective,"아주 멋진, 훌륭한",very beautiful and impressive,"more magnificent,most magnificent",Abstract Concepts,W000002846,S000000001,"splendid,grand,glorious,wonderful"
magnificent,B1,LCMS_0729_0727_wordmeta,Noun,웅장함이 특징,"a thing, person, or idea about magnificent",magnificent,Abstract Concepts,W000002846,S000000002,"brilliant,glorious,splendid"
guy,B1,LCMS_0729_0727_wordmeta,Noun,남자 아이나 남자,an informal word for a man or boy,guys,People & Family,W000002847,S000000001,"man,fellow,dude"
restrict,B2,LCMS_0729_0727_wordmeta,Verb,양이나 수를 줄이다,to limit the amount or size of something,"restricted,restricting,restricts",Actions & Verbs,W000002848,S000000001,"limit,control,confine"
restrict,B2,LCMS_0729_0727_wordmeta,Verb,못하게 하다,to stop someone from doing something,"restricted,restricting,restricts",Actions & Verbs,W000002848,S000000002,"limit,control,confine"
shopper,B1,LCMS_0729_0727_wordmeta,Noun,물건 사는 사람,a person who buys things in a shop,shoppers,Shopping & Money,W000002851,S000000001,"customer,buyer,client"
native,B1,LCMS_0729_0727_wordmeta,Adjective,어떤 곳에서 자란,growing naturally in a place,,Nature & Weather,W000002854,S000000001,"indigenous,local,original"
native,B1,LCMS_0729_0727_wordmeta,Adjective,태어난 곳의,born in a certain place,,Places & Transport,W000002854,S000000002,"indigenous,local,original"
native,B1,LCMS_0729_0727_wordmeta,Noun,"토박이, 원주민",a person born in a certain place,,People & Family,W000002854,S000000003,"indigenous,local,original"
costly,C1,LCMS_0729_0727_wordmeta,Adjective,"값비싼, 비싼",very expensive,"costlier,costliest",Shopping & Money,W000002856,S000000001,"expensive,pricey,dear"
documentary,B1,LCMS_0729_0727_wordmeta,Noun,"다큐멘터리, 기록 영화",a film that shows real facts about something,documentaries,Technology & Media,W000002858,S000000001,non-fiction film
handkerchief,B1,LCMS_0729_0727_wordmeta,Noun,손수건,a small piece of cloth used to wipe your nose or face,handkerchiefs,Clothes,W000002859,S000000001,"hanky,tissue"
accordingly,C1,LCMS_0729_0727_wordmeta,Adverb,그에 맞춰서,in a way that fits a situation or rule,,Grammar & Function Words,W000002860,S000000001,"consequently,appropriately,therefore"
consequence,B1,LCMS_0729_0727_wordmeta,Noun,어떤 일의 결과,what happens after you do something,consequences,Abstract Concepts,W000002862,S000000001,"result,outcome,effect"
particularly,B1,LCMS_0729_0727_wordmeta,Adverb,"특히, 특별히",more than other things or people,,Grammar & Function Words,W000002863,S000000001,"especially,notably,uniquely"
dominant,B2,LCMS_0729_0727_wordmeta,Adjective,"우세한, 지배적인",having more power or importance than others,"more dominant,most dominant",Abstract Concepts,W000002864,S000000001,"main,principal,primary,leading,prevailing"
framework,B2,LCMS_0729_0727_wordmeta,Noun,뼈대,a structure that holds something up,frameworks,Home & Objects,W000002867,S000000001,"structure,skeleton,system"
curiously,B1,LCMS_0729_0727_wordmeta,Adverb,궁금해하며,in a way that shows curiosity,,Feelings & Emotions,W000002869,S000000001,"strangely,oddly,inquisitively"
entity,C1,LCMS_0729_0727_wordmeta,Noun,존재하는 것,a thing that exists,entities,Abstract Concepts,W000002871,S000000001,"being,existence,item,unit"
tide,C1,LCMS_0729_0727_wordmeta,Noun,"밀물, 썰물",the regular movement of the sea up and down,tides,Nature & Weather,W000002872,S000000001,current
tonight,A2,LCMS_0729_0727_wordmeta,Adverb,오늘 밤에,during the evening or night of today,,Grammar & Function Words,W000002873,S000000001,this evening
tonight,A2,LCMS_0729_0727_wordmeta,Noun,오늘 밤,the evening or night of today,,Numbers & Time,W000002873,S000000002,this evening
franchise,C1,LCMS_0729_0727_wordmeta,Noun,"가게, 체인점",a shop that sells a company's products,franchises,Shopping & Money,W000002874,S000000001,"chain,branch"
franchise,C1,LCMS_0729_0727_wordmeta,Verb,가게를 열게 하다,to let someone sell your products,franchises,Shopping & Money,W000002874,S000000002,"chain,branch"
bacteria,B2,LCMS_0729_0727_wordmeta,Noun,"세균, 작은 생물","very tiny living things, some of which can make you sick",,Science & Discovery,W000002875,S000000001,"germ,microbe"
almost,B1,LCMS_0729_0727_wordmeta,Adverb,"거의 다, 거의","very close to something, but not completely",,Grammar & Function Words,W000002876,S000000001,"nearly,practically,nearly all"
equally,B1,LCMS_0729_0727_wordmeta,Adverb,똑같이,in the same way or amount,,Grammar & Function Words,W000002878,S000000001,"identically,uniformly,likewise"
look at,Pre A1,LCMS_0729_0727_wordmeta,Verb,~을 보다,to direct your eyes toward something,,Actions & Verbs,W000002881,S000000001,
look at,Pre A1,LCMS_0729_0727_wordmeta,Verb,보다,to turn your eyes to see something,"looks at,looked at,looking at",Actions & Verbs,W000002881,S000000002,"observe,gaze at"
at first,B1,LCMS_0729_0727_wordmeta,Adverb,처음에는,"at the beginning, before something changes",,Grammar & Function Words,W000002883,S000000001,
at first,B1,LCMS_0729_0727_wordmeta,Adverb,"처음에는, 처음으로",at the beginning of something,,Numbers & Time,W000002883,S000000002,"initially,originally"
associate,B2,LCMS_0729_0727_wordmeta,Noun,함께 일하는 사람,a person you work with,associates,Work & Jobs,W000002884,S000000001,"colleague,partner,comrade"
associate,B2,LCMS_0729_0727_wordmeta,Verb,관련 있다고 생각하다,to think two things are connected,associates,Abstract Concepts,W000002884,S000000002,"colleague,partner,comrade"
associate,B2,LCMS_0729_0727_wordmeta,Verb,함께 시간을 보내다,to spend time with other people,associates,Actions & Verbs,W000002884,S000000003,"colleague,partner,comrade"
harmful,B2,LCMS_0729_0727_wordmeta,Adjective,"해로운, 나쁜",likely to cause hurt or damage,"more harmful,most harmful",Abstract Concepts,W000002885,S000000001,"damaging,detrimental,injurious"
ice cream,Pre A1,LCMS_0729_0727_wordmeta,Noun,"아이스크림, 차갑고 단 우유 간식","a sweet, cold food made from milk",ice creams,Food & Drink,W000002888,S000000001,
wake,A1,LCMS_0729_0727_wordmeta,Verb,누군가를 깨우다,to make someone stop sleeping,"woke,woken,wakes,waking",Actions & Verbs,W000002889,S000000001,"awaken,rouse"
wake,A1,LCMS_0729_0727_wordmeta,Verb,잠에서 깨다,to stop sleeping,"woke,woken,wakes,waking",Actions & Verbs,W000002889,S000000002,"awaken,rouse"
wake,A1,LCMS_0729_0727_wordmeta,Noun,사건의 결과(특히 재앙적인 사건),the consequences of an event,"woke,wake,wakes,waking,woken",Abstract Concepts,W000002889,S000000003,"aftermath,backwash"
charity,B1,LCMS_0729_0727_wordmeta,Noun,어려운 사람을 돕는 단체,a group that helps people in need,charities,Society & Community,W000002891,S000000001,benevolent organization
charity,B1,LCMS_0729_0727_wordmeta,Noun,어려운 사람을 돕는 일,the act of helping people in need,charities,Society & Community,W000002891,S000000002,benevolent organization
whether,B1,LCMS_0729_0727_wordmeta,Conjunction,"~인지 아닌지, ~이든 아니든",used to talk about two choices or possibilities,,Grammar & Function Words,W000002892,S000000001,if
beneath,B1,LCMS_0729_0727_wordmeta,Adverb,아래에,in a lower place,,Grammar & Function Words,W000002894,S000000001,"under,below"
beneath,B1,LCMS_0729_0727_wordmeta,Preposition,~아래에,under something else,,Grammar & Function Words,W000002894,S000000002,"under,below"
ritual,C1,LCMS_0729_0727_wordmeta,Noun,"습관, 일과","something you do regularly, like a habit",rituals,Abstract Concepts,W000002897,S000000001,"habit,routine,custom"
ritual,C1,LCMS_0729_0727_wordmeta,Noun,"의식, 의례","a special way of doing things, often for a group",rituals,Society & Community,W000002897,S000000002,"habit,routine,custom"
ritual,C1,LCMS_0729_0727_wordmeta,Adjective,종교 의식과 관련이 있거나 종교 의식의 특징,about religious rituals,"ritual,rituals",Abstract Concepts,W000002897,S000000003,
swan,A2,LCMS_0729_0727_wordmeta,Noun,백조,a big white bird that swims on water,swans,Animals,W000002901,S000000001,
basin,B1,LCMS_0729_0727_wordmeta,Noun,땅이 움푹 들어간 곳,a low area of land shaped like a bowl,basins,Nature & Weather,W000002904,S000000001,"bowl,sink,tub"
basin,B1,LCMS_0729_0727_wordmeta,Noun,물을 담는 그릇,a wide bowl to hold water,basins,Home & Objects,W000002904,S000000002,"bowl,sink,tub"
tick,B1,LCMS_0729_0727_wordmeta,Noun,"똑딱 소리, 째깍 소리",a light sound a clock makes,ticks,Home & Objects,W000002905,S000000001,click
tick,B1,LCMS_0729_0727_wordmeta,Noun,진드기,a very small insect that bites animals,ticks,Animals,W000002905,S000000002,click
tick,B1,LCMS_0729_0727_wordmeta,Noun,"체크 표시, 확인 표시",a mark to show something is right,ticks,Home & Objects,W000002905,S000000003,click
tick,B1,LCMS_0729_0727_wordmeta,Verb,"똑딱거리다, 째깍거리다",to make a light sound like a clock,ticks,Actions & Verbs,W000002905,S000000004,click
tick,B1,LCMS_0729_0727_wordmeta,Verb,"체크하다, 표시하다",to put a mark next to something,ticks,Actions & Verbs,W000002905,S000000005,click
basis,B1,LCMS_0729_0727_wordmeta,Noun,어떤 것의 중요한 이유,the main reason for something,bases,Abstract Concepts,W000002906,S000000001,"foundation,grounds,reason"
army,B1,LCMS_0729_0727_wordmeta,Noun,군대,a large group of soldiers who fight for their country,armies,Society & Community,W000002909,S000000001,"military,troops"
ethic,B2,LCMS_0729_0727_wordmeta,Noun,옳은 행동에 대한 생각,ideas about what is good and right to do,ethics,Abstract Concepts,W000002911,S000000001,"morality,principles,values,code of conduct"
arms,B2,LCMS_0729_0727_wordmeta,Noun,팔,the two long parts of your body from your shoulders,,Body & Senses,W000002912,S000000001,limbs
arms,B2,LCMS_0729_0727_wordmeta,Noun,무기,things like guns that people use to fight,,Society & Community,W000002912,S000000002,limbs
gym,A2,LCMS_0729_0727_wordmeta,Noun,운동하는 곳,a place where you do sports,gyms,Places & Transport,W000002913,S000000001,"gymnasium,fitness center"
governor,B2,LCMS_0729_0727_wordmeta,Noun,"주지사, 총독",a person who rules a state or a large area,governors,People & Family,W000002914,S000000001,"administrator,ruler,chief"
basic,B1,LCMS_0729_0727_wordmeta,Adjective,가장 중요하고 쉬운,very important and simple,"more basic,most basic",School & Learning,W000002915,S000000001,"fundamental,essential,primary"
basic,B1,LCMS_0729_0727_wordmeta,Adjective,특별하지 않고 쉬운,simple and not special,"more basic,most basic",Abstract Concepts,W000002915,S000000002,"fundamental,essential,primary"
lake,A1,LCMS_0729_0727_wordmeta,Noun,호수,a large area of water with land all around it,lakes,Nature & Weather,W000002916,S000000001,pond
twist,C1,LCMS_0729_0727_wordmeta,Noun,"비틀기, 꼬임",an action of twisting or turning something,"twisted,twists,twisting",Actions & Verbs,W000002917,S000000001,"bend,turn,coil,wind"
twist,C1,LCMS_0729_0727_wordmeta,Verb,"비틀다, 꼬다",to turn or bend something into a new shape,"twisted,twists,twisting",Actions & Verbs,W000002917,S000000002,"bend,turn,coil,wind"
unite,B2,LCMS_0729_0727_wordmeta,Verb,"하나로 모으다, 합치다",to bring or come together as one group,"united,unites,uniting",Actions & Verbs,W000002918,S000000001,"join,combine,merge,connect"
bush,B1,LCMS_0729_0727_wordmeta,Noun,나무보다 작은 식물,a plant that is smaller than a tree,,Nature & Weather,W000002919,S000000001,"wilderness,outback"
bush,B1,LCMS_0729_0727_wordmeta,Noun,사람이 거의 살지 않는 야생 땅,wild land where few people live,,Nature & Weather,W000002919,S000000002,"wilderness,outback"
accidentally,B2,LCMS_0729_0727_wordmeta,Adverb,"우연히, 실수로",in a way that is not planned or on purpose,,Grammar & Function Words,W000002924,S000000001,"by chance,unintentionally,inadvertently"
indulge,C1,LCMS_0729_0727_wordmeta,Verb,마음껏 즐기다,to enjoy something fully,"indulged,indulges,indulging",Actions & Verbs,W000002925,S000000001,"pamper,spoil,satisfy,revel in"
indulge,C1,LCMS_0729_0727_wordmeta,Verb,하고 싶은 대로 하다,to let yourself do what you want,"indulged,indulges,indulging",Actions & Verbs,W000002925,S000000002,"pamper,spoil,satisfy,revel in"
unity,B2,LCMS_0729_0727_wordmeta,Noun,단결,when people work together as one,,Abstract Concepts,W000002926,S000000001,"harmony,solidarity,oneness,agreement"
unity,B2,LCMS_0729_0727_wordmeta,Noun,조화,when different things fit well together,,Abstract Concepts,W000002926,S000000002,"harmony,solidarity,oneness,agreement"
unity,B2,LCMS_0729_0727_wordmeta,Noun,통일,when different parts become one whole,,Abstract Concepts,W000002926,S000000003,"harmony,solidarity,oneness,agreement"
pursue,B2,LCMS_0729_0727_wordmeta,Verb,뒤쫓다,to go after someone or something to catch them,"pursued,pursues,pursuing",Actions & Verbs,W000002927,S000000001,"chase,follow,track"
pursue,B2,LCMS_0729_0727_wordmeta,Verb,얻으려고 노력하다,to try to get or do something,"pursued,pursues,pursuing",Actions & Verbs,W000002927,S000000002,"chase,follow,track"
busy,A1,LCMS_0729_0727_wordmeta,Adjective,"사람이 많은, 붐비는",full of people or activity,"busier,busiest",Abstract Concepts,W000002929,S000000001,"active,occupied"
busy,A1,LCMS_0729_0727_wordmeta,Adjective,할 일이 많은,having many things to do,"busier,busiest",Abstract Concepts,W000002929,S000000002,"active,occupied"
convey,B2,LCMS_0729_0727_wordmeta,Verb,한 곳에서 다른 곳으로 옮기다,to carry or move something from one place to another,"conveyed,conveys,conveying",Actions & Verbs,W000002930,S000000001,"transport,carry,deliver"
convey,B2,LCMS_0729_0727_wordmeta,Verb,생각이나 느낌을 말하거나 보여주다,"to tell or show an idea, feeling, or message","conveyed,conveys,conveying",Actions & Verbs,W000002930,S000000002,"transport,carry,deliver"
extra,B1,LCMS_0729_0727_wordmeta,Adjective,추가의,more than what is usual or needed,,Abstract Concepts,W000002931,S000000001,"additional,spare,surplus"
extra,B1,LCMS_0729_0727_wordmeta,Adverb,더 많이,more than usual,,Abstract Concepts,W000002931,S000000002,"additional,spare,surplus"
extra,B1,LCMS_0729_0727_wordmeta,Noun,추가분,something added or more than usual,,Abstract Concepts,W000002931,S000000003,"additional,spare,surplus"
land,A2,LCMS_0729_0727_wordmeta,Noun,"나라, 국가",a country where people live,"landed,lands,landing",Society & Community,W000002932,S000000001,"alight,descend,arrive"
land,A2,LCMS_0729_0727_wordmeta,Noun,"땅, 육지","the dry part of the world, not water","landed,lands,landing",Nature & Weather,W000002932,S000000002,"alight,descend,arrive"
land,A2,LCMS_0729_0727_wordmeta,Verb,떨어지다,to fall or come down onto a surface,"landed,lands,landing",Actions & Verbs,W000002932,S000000003,"alight,descend,arrive"
land,A2,LCMS_0729_0727_wordmeta,Verb,착륙하다,to come down from the air onto the ground,"landed,lands,landing",Actions & Verbs,W000002932,S000000004,"alight,descend,arrive"
lane,B2,LCMS_0729_0727_wordmeta,Noun,좁은 길,"a small, narrow road",lanes,Places & Transport,W000002935,S000000001,"road,path,alley,track"
lane,B2,LCMS_0729_0727_wordmeta,Noun,차선,a part of a big road for cars,lanes,Places & Transport,W000002935,S000000002,"road,path,alley,track"
burn,A2,LCMS_0729_0727_wordmeta,Noun,불에 데거나 탄 자국,a mark or hurt from fire or heat,"burned/burnt,burns,burning",Health & Body,W000002936,S000000001,"ignite,scorch,blaze"
burn,A2,LCMS_0729_0727_wordmeta,Verb,뜨거워서 아프다,to hurt because of heat,"burned/burnt,burns,burning",Actions & Verbs,W000002936,S000000002,"ignite,scorch,blaze"
burn,A2,LCMS_0729_0727_wordmeta,Verb,불을 붙여 태우다,to make something burn with fire,"burned/burnt,burns,burning",Actions & Verbs,W000002936,S000000003,"ignite,scorch,blaze"
burn,A2,LCMS_0729_0727_wordmeta,Verb,불이 붙어 타다,to be on fire,"burned/burnt,burns,burning",Actions & Verbs,W000002936,S000000004,"ignite,scorch,blaze"
burn,A2,LCMS_0729_0727_wordmeta,Verb,아주 뜨겁게 느껴지다,to feel very hot,"burned/burnt,burns,burning",Actions & Verbs,W000002936,S000000005,"ignite,scorch,blaze"
countryside,A1,LCMS_0729_0727_wordmeta,Noun,"시골, 농촌 풍경",the land outside of cities and towns,,Nature & Weather,W000002938,S000000001,"rural area,country"
automatic,B2,LCMS_0729_0727_wordmeta,Noun,자동 기계,a machine or car that works by itself,automatics,Technology & Media,W000002939,S000000001,
automatic,B2,LCMS_0729_0727_wordmeta,Adjective,"자동의, 저절로 되는",working by itself,automatics,Abstract Concepts,W000002939,S000000002,
lamp,Pre A1,LCMS_0729_0727_wordmeta,Noun,방을 밝히는 등,a light that you use in a room,lamps,Home & Objects,W000002941,S000000001,"light,lantern"
consecutive,C1,LCMS_0729_0727_wordmeta,Adjective,계속 이어지는,following one after another without stopping,,Numbers & Time,W000002942,S000000001,"sequential,successive,continuous"
jewellery,B1,LCMS_0729_0727_wordmeta,Noun,"보석류, 장신구",small pretty things people wear,,Clothes,W000002946,S000000001,"adornments,trinkets"
bury,B1,LCMS_0729_0727_wordmeta,Verb,땅속에 넣다,to put something into the ground,"buried,buries,burying",Actions & Verbs,W000002947,S000000001,inter
bury,B1,LCMS_0729_0727_wordmeta,Verb,무엇으로 덮어 숨기다,to cover something so it cannot be seen,"buried,buries,burying",Actions & Verbs,W000002947,S000000002,inter
bury,B1,LCMS_0729_0727_wordmeta,Verb,죽은 사람을 땅에 묻다,to put a dead body in the ground,"buried,buries,burying",Actions & Verbs,W000002947,S000000003,inter
lamb,B1,LCMS_0729_0727_wordmeta,Noun,양고기,meat from a young sheep,lambs,Food & Drink,W000002949,S000000001,mutton
lamb,B1,LCMS_0729_0727_wordmeta,Noun,어린 양,a baby sheep,lambs,Animals,W000002949,S000000002,mutton
tidy,A2,LCMS_0729_0727_wordmeta,Adjective,"깔끔한, 단정한",neat and with everything where it belongs,"tidier,tidiest",Abstract Concepts,W000002952,S000000001,"neat,ordered,organized"
tidy,A2,LCMS_0729_0727_wordmeta,Verb,"정리하다, 정돈하다",to make something neat and put things away,"tidier,tidiest",Actions & Verbs,W000002952,S000000002,"neat,ordered,organized"
wall,Pre A1,LCMS_0729_0727_wordmeta,Noun,담,a barrier around a house or garden,walls,Home & Objects,W000002953,S000000001,"barrier,partition"
wall,Pre A1,LCMS_0729_0727_wordmeta,Noun,벽,a side of a room or building,walls,Home & Objects,W000002953,S000000002,"barrier,partition"
